class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
XGBRegressor,10,13821,1383,1382,0.3,4.992465885,4.121475054,5.571635311,0.448969735,4.992465885,4.121475054,5.571635311,0.448969735,3,3,0,0.166666667,0.072566663,1.13E-05,1.305305017,0.245613658,1.347356542,0.319057598,1.502076621,0.195271617,0,0,0,0,1,0,2,0.447213595,2.2,1,3,0.6,2.9,2,3,0.3,0,0,0,0,0,0,0,0,2,2,2,0,0.009828662,13,2,0.325082973
XGBRegressor,5,4031,807,806,0.4,4.762945812,3.970223325,6.203473945,0.875040953,4.762945812,3.970223325,6.203473945,0.875040953,1,1,0,1,0.201652721,4.52E-06,0.902780517,0,1.191704042,0.708640365,1.644995513,0,0,0,0,0,0.4,0,1,0.489897949,0,0,0,0,0.6,0,1,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0.033774279,0,0,0.673011667
HUBERREGRESSOR,5,17280,3456,3456,0,5.104166667,4.74537037,5.295138889,0.188944765,5.104166667,4.74537037,5.295138889,0.188944765,5,5,0,0.166666667,2.125558859,0.00048166,4.400822784,0.567838858,9.354913462,1.056956421,22.94514571,2.961902352,0,0,0,0,2.6,0,5,2.154065923,4.2,4,5,0.4,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.017801746,0,0,0.673011667
LinearSVR,5,6911,1383,1382,0.4,4.934113114,4.052098408,5.571635311,0.524085783,4.934113114,4.052098408,5.571635311,0.524085783,4,4,0,0.5,0.339477023,0.006274,0.951778936,0.159308432,1.347234885,0.224735723,3.176206199,0.301530801,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.390251951,0,0,0
XGBRegressor,15,24181,1613,1612,0.249443826,4.966717382,3.535980149,6.389578164,0.693981468,4.966717382,3.535980149,6.389578164,0.693981468,2,2,0,0.166666667,0.193587286,1.44E-06,1.626825092,0.32410735,1.280995713,0.325076727,1.503107063,0.1665187,0,0,0,0,1.266666667,1,2,0.442216639,1.066666667,1,2,0.249443826,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0.014878763,4,4,0.392674467
HUBERREGRESSOR,10,13821,1383,1382,0.3,4.920002344,4.196816208,5.788712012,0.576605834,4.920002344,4.196816208,5.788712012,0.576605834,3,3,0,0.166666667,0.069468108,0.058095844,0.094082653,0.006972215,1.206642895,0.849004586,1.300406795,0.04436287,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.300618948,0,0,0
LASSO,5,10366,2074,2073,0.4,4.871719369,4.486251809,5.402797877,0.337305696,4.871719369,4.486251809,5.402797877,0.337305696,5,4,1,0.5,1.294262937,0.00474867,2.46428377,0.350036466,6.066394949,1.108729635,11.28123655,1.710730547,1,1,1,0,3.4,1,4,1.2,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.06180634,0,0,0.500402424
XGBRegressor,10,27641,2765,2764,0.3,4.974478113,4.450072359,5.499276411,0.331816333,4.974478113,4.450072359,5.499276411,0.331816333,5,5,0,0.166666667,1.898243699,0.001026496,4.59033998,0.730502754,6.874850473,0.042327187,24.23589747,4.318912214,0,0,0,0,4.5,4,5,0.5,4,4,4,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.14162348,0,0,0
LinearSVR,10,34560,3456,3456,0,5.026041667,4.774305556,5.46875,0.202153223,5.026041667,4.774305556,5.46875,0.202153223,4,4,0,0.166666667,3.178132383,0.000262862,5.056440674,0.662277048,19.80422315,0.04774572,35.79595017,3.217827524,0,0,0,0,3.1,3,4,0.3,3.2,3,4,0.4,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.014906057,0,0,0
LinearSVR,10,42041,4205,4204,0.3,4.952306902,4.519505233,5.42340628,0.293777111,4.952306902,4.519505233,5.42340628,0.293777111,9,8,1,0.166666667,1.385644667,1.02E-05,3.70944959,0.573470125,8.751141177,0.842997378,19.44301801,1.890434158,1,1,1,0,7.8,5,9,0.979795897,8,8,8,0,9,9,9,0,4,4,4,0,2,2,2,0,3,3,3,0,0.023368826,4205,1051,0.325082973
HUBERREGRESSOR,10,8061,807,806,0.3,5.148206912,4.094292804,6.575682382,0.620632764,5.148206912,4.094292804,6.575682382,0.620632764,3,3,0,0.5,0.9431445,0.188145555,1.751480818,0.013475303,3.99172049,1.352381848,7.132714696,0.025334416,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.30447609,0,0,0
XGBRegressor,5,31101,6221,6220,0.4,4.945166537,4.501607717,5.320687992,0.266581805,4.945166537,4.501607717,5.320687992,0.266581805,6,6,0,0.166666667,1.586116298,0.004077948,4.47277549,0.658648087,7.681320646,0.908479374,23.51795632,4.123463124,0,0,0,0,5.2,5,6,0.4,5.2,5,6,0.4,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.154642614,0,0,0
XGBRegressor,5,6336,1268,1267,0.4,4.877028874,4.022082019,5.524861878,0.525523216,4.877028874,4.022082019,5.524861878,0.525523216,2,1,1,1,0.755875676,0.008556727,1.687894076,0,1.309145974,1.010190676,1.567440497,0,1.219700933,1,2,0,0.4,0,1,0.489897949,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032015105,0,0,0.673011667
LASSO,10,10361,1037,1036,0.3,5.067037005,3.764478764,5.888030888,0.682540979,5.067037005,3.764478764,5.888030888,0.682540979,2,2,0,0.5,0.069880383,0.023040661,0.098849166,0.000854972,0.561217668,0.478884344,0.690881001,0.000939617,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0.49688588,0,0,0
XGBRegressor,10,27641,2765,2764,0.3,5.017910463,4.413892909,5.680173661,0.358572971,5.017910463,4.413892909,5.680173661,0.358572971,4,4,0,0.166666667,3.184742219,0.000205922,4.639590964,0.640585069,15.81819976,0.464941995,25.83408037,3.336753254,0,0,0,0,3.1,1,4,0.830662386,3.1,3,4,0.3,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.012412188,0,0,0.325082973
XGBRegressor,5,17280,3456,3456,0,5.028935185,4.398148148,5.873842593,0.507612552,5.028935185,4.398148148,5.873842593,0.507612552,4,4,0,0.166666667,3.258915107,0.229408573,4.653196643,0.73508071,15.54602698,0.805666067,25.71525428,3.865755035,0,0,0,0,3.4,3,4,0.489897949,3,3,3,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.014175853,0,0,0
LinearSVR,5,10366,2074,2073,0.4,4.968174644,4.534491076,5.692233478,0.426145087,4.968174644,4.534491076,5.692233478,0.426145087,6,6,0,0.166666667,0.049918174,2.68E-11,0.926900868,0.1356473,1.382623597,0.628010051,1.501446341,0.080245383,0,0,0,0,5.2,5,6,0.4,5,5,5,0,6,6,6,0,0,0,0,0,0,0,0,0,4,4,4,0,0.017367078,98,10,0
